reference	Nr	PlantNaam	Licht	Vochtigheid	Plantdichtheid	Habitat	Kleur	Hooghte	bladhooghte	bloei	
1622884862-16813	912	Liatris spicata 'Kobold'	zon              	fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	paars    	 50 cm  	    20 cm  	    20 cm  	  6- 9
1622883964-14726	913	Verbascum 'Jackie'	zon              	droog                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Open plaatsen met droge bodem (OP1B)          extra informatie       Uitzaaiend         bladhoudend  snijbloem  bijenplant	roze    	 40 cm  	    20 cm  	    20 cm  	  6- 9
1622879969-6417	914	Pennisetum orientale 'Tall Tails'	zon              	fris                	aantal  : 4 tot 6 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - werkelijk zeer grote vlakken (E)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem	wit    	100 cm  	    50 cm  	    50 cm  	  6-10
1622883192-12948	915	Paeonia rockii 'Hei hai feng yun'	zon              	fris             afdekken    	aantal  : 1 tot 1 per m2  - alleen of in kleine toefen (A)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch   snijbloem	rood    	150 cm  	   150 cm  	   150 cm  	  5- 6
1622880381-7385	916	Salvia officinalis 'Berggarten' (BREEDBL. SALIE)	zon              	droog                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Open plaatsen met droge bodem (OP1B)     Stenige, droge bodem (ST1)          extra informatie               bladhoudend  Aromatisch   vlinderplant nectar  bijenplant	blauw    	 80 cm  	    50 cm  	    50 cm  	  7- 8
1622880063-6603	917	Echinacea purpurea 'Alba'	zon              	fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	wit    	100 cm  	    40 cm  	    40 cm  	  7- 9
1622880861-8353	918	Anemone nemorosa 'Allenii'	half schaduw             	fris                	aantal  : 9 tot 15 per m2	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)          extra informatie       Licht woekerend         bijenplant	blauw    	 30 cm  	    10 cm  	    10 cm  	  5- 6
1622883788-14330	919	Crambe cordifolia	zon              	droog fris                	aantal  : 1 tot 1 per m2  - alleen of in kleine toefen (A)	Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie               Aromatisch   bijenplant	wit    	200 cm  	    70 cm  	    70 cm  	  5- 7
1622881749-10169	920	Prunella grandiflora 'Alba'	zon   half schaduw             	droog fris                	aantal  : 8 tot 12 per m2  - grotere kolonies in lage beplanting (D)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie               bladhoudend  bodembedekker  bijenplant	wit    	 25 cm  	    10 cm  	    10 cm  	  6- 8
1622882821-12088	921	Agastache rugosa 'Caerulea'	zon              	droog             afdekken    	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)          extra informatie       Uitzaaiend         Aromatisch   snijbloem  vlinderplant nectar  bijenplant	violet    	100 cm  	    60 cm  	    60 cm  	  6- 9
1622881608-9853	922	Echinops sphaerocephalus 'Arctic Glow'	zon              	droog fris                	aantal  : 5 tot 7 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	wit    	 80 cm  	    40 cm  	    40 cm  	  6- 8
1622880661-7936	923	Teucrium hyrcanicum 'Flowtime'	zon              	droog fris             afdekken    	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar	paars    	 80 cm  	    40 cm  	    40 cm  	  6-11
1622883722-14168	924	Echium russicum	zon              	droog                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met droge bodem (OP1)     Stenige, droge bodem (ST1)          extra informatie       Licht uitzaaiend         snijbloem  vlinderplant nectar  bijenplant	rood    	 60 cm  	    25 cm  	    25 cm  	  6- 8
1622880735-8083	925	Iris sibirica 'Silver Edge'	zon              	fris vochtig                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               snijbloem	blauw    	 80 cm  	    50 cm  	    50 cm  	  6- 7
1622883733-14186	926	Coreopsis (x) 'Johannes'	zon              	fris                	aantal  : 7 tot 10 per m2	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)     Stenige, frisse bodem (ST2)          extra informatie               bijenplant	geel    	 70 cm  	    40 cm  	    40 cm  	  7- 9
1622880127-6777	927	Aster novae-angliae 'Marina Wolkonsky'	zon              	fris                	aantal  : 2 tot 4 per m2  - alleen of in kleine toefen (A)  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	violet    	120 cm  	    80 cm  	    80 cm  	  9-10
1622883142-12857	928	Cynara cardunculus	zon              	droog fris             afdekken    	aantal  : 1 tot 1 per m2  - alleen of in kleine toefen (A)	Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie       Sterk uitzaaiend         snijbloem  bijenplant	blauw    	180 cm  	    80 cm  	    80 cm  	  7- 9
1622881713-10090	929	Aster sedifolius 'Nanus'	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	violet    	 35 cm  	    20 cm  	    20 cm  	  8- 9
1622880512-7671	930	Primula bulleyana	half schaduw             	fris vochtig                	aantal  : 8 tot 12 per m2  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     moeraszone (O4)     Open plaatsen met vochtige bodem (OP3)          extra informatie	oranje    	 60 cm  	    20 cm  	    20 cm  	  6- 7
1622882202-10994	931	Iris ensata 'Loyalty'	zon              	fris vochtig                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               snijbloem	violet    	 90 cm  	    60 cm  	    60 cm  	  6- 7
1622880271-7109	932	Geranium cin. JOLLY JEWEL NIGHT ®	zon              	droog fris                	aantal  : 8 tot 12 per m2	Rotstuin met droge bodem (A1)     Rotstuin met frisse bodem (A2)     Droge bodem met grind (GR1)     Frisse bodem met grind (GR2)     Muurbeplanting met droge bodem (M1)     Muurbeplanting met frisse bodem (M2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               bladhoudend	roze    	 20 cm  	    10 cm  	    10 cm  	  6- 9
1622882952-12364	933	Tulipa 'Chansonnette'	zon              	droog fris                	DRIFT	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  bijenplant	paars    	 60 cm  	    30 cm  	    30 cm  	  4- 5
1622881992-10623	934	Hosta undulata 'Albomarginata'	half schaduw  schaduw             	               	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)          extra informatie	lila    	 90 cm  	    40 cm  	    40 cm  	  7- 8
1622884965-17028	935	Senna marilandica	zon   half schaduw             	droog fris                	aantal  : 4 tot 6 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie	geel    	140 cm  	   125 cm  	   125 cm  	  8- 9
1622884078-14968	936	Echinacea purpurea 'Hope' PBR	zon              	droog fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2)          extra informatie               snijbloem  vlinderplant nectar  bijenplant                                                                                                New	roze    	 70 cm  	    50 cm  	    50 cm  	  7- 9
1622883827-14413	937	Narcissus 'Yellow Cheerfulness'	zon              	droog fris                	DRIFT	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch   snijbloem                                                                                              New	geel    	 35 cm  	    20 cm  	    20 cm  	  3- 4
1622883865-14502	938	Salvia nemorosa 'Sensation Blue'	zon              	droog fris                	aantal  : 7 tot 10 per m2	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch   snijbloem  vlinderplant nectar	blauw    	 40 cm  	    25 cm  	    25 cm  	  6- 8
1622879987-6461	939	Aster alpinus 'Albus'	zon              	droog fris                	aantal  : 8 tot 12 per m2  - groepen van 10 tot 24 stuks (C)	Droge bodem met grind (GR1)     Frisse bodem met grind (GR2)     Ondiepe, droge bodem (OB1)     Ondiepe, frisse bodem (OB2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               vlinderplant nectar  bijenplant	wit    	 20 cm  	    10 cm  	    10 cm  	  5- 6
1622883172-12910	940	Sanguisorba officinalis 'Red Thunder'	zon   half schaduw             	fris vochtig                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               snijbloem	rood    	 80 cm  	    40 cm  	    40 cm  	  6- 7
1622879842-6125	941	Persicaria ampl. 'JS Delgado Macho' PBR	zon   half schaduw             	fris vochtig                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie               bodembedekker  snijbloem  macho                                                                                            JS	rood    	 50 cm  	    35 cm  	    35 cm  	  7-10
1622882356-11223	942	Myosotis palustris	zon   half schaduw             	vochtig                	aantal  : 8 tot 12 per m2	moeraszone (O4)     Open plaatsen met vochtige bodem (OP3)          extra informatie       Licht woekerend	blauw    	 25 cm  	    20 cm  	    20 cm  	  4- 7
1622883266-13153	943	Rodgersia 'Chocolate Wings'PBR	half schaduw             	fris vochtig                	aantal  : 5 tot 7 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Bos en onder bomen met frisse bodem (B2)     Bos en onder bomen  met vochtige bodem (B3)     Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)          extra informatie               snijbloem	roze    	100 cm  	    60 cm  	    60 cm  	  5- 6
1622883620-13965	944	Agapanthus africanus 'Twister'	zon              	fris             afdekken    	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)          extra informatie               bladhoudend  snijbloem  bijenplant	wit    	 70 cm  	    30 cm  	    30 cm  	  7- 9
1622884312-15573	945	Carex comans 'Frosted Curls'	zon              	fris vochtig             afdekken    	aantal  : 6 tot 9 per m2  - alleen of in kleine toefen (A)  - in kleine groepjes van 3 tot 10 stuks (B)	Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               bladhoudend  bodembedekker	grijs    	 30 cm  	    30 cm  	    30 cm  	  4- 5
1622881407-9415	946	Geranium 'Hexham Velvet' PBR	zon   half schaduw             	fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               bodembedekker	roze    	 35 cm  	    30 cm  	    30 cm  	  6-11
1622884251-15404	947	Polypodium vulgare	half schaduw  schaduw             	fris vochtig                	aantal  : 9 tot 15 per m2	Bos en onder bomen met frisse bodem (B2)     Bos en onder bomen  met vochtige bodem (B3)     Stenige, frisse bodem (ST2)     Stenige, vochtige bodem (ST3)     Steenvoegen met frisse bodem (SV2)     Steenvoegen met vochtige bodem (SV3)          extra informatie               bladhoudend  bodembedekker	groen    	 30 cm  	    30 cm  	    30 cm  	  0- 0
1622882711-11901	948	Digitalis lutea	zon   half schaduw             	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie       Uitzaaiend         bladhoudend  snijbloem  bijenplant	geel    	 70 cm  	    25 cm  	    25 cm  	  6- 8
